title,worldwide_gross,domestic_gross,foreign_gross,widest_opening,rating,budget,month,year,adjust,tickets_sold,gross_adj,season
Paranormal Activity (2009),193355800,107918810,85436990,NA,R,NA,September,2009,7.5,14389174.67,129646463.7,Fall
Where the Wild Things Are (2009),100086793,77233467,22853326,3735,PG,1.00E+08,October,2009,7.5,10297795.6,92783138.36,Fall
Couples Retreat (2009),171844840,109204945,62639895,3074,PG-13,7.00E+07,October,2009,7.5,14560659.33,131191540.6,Fall
Zombieland (2009),102391540,75590286,26801254,3171,R,23600000,October,2009,7.5,10078704.8,90809130.25,Fall
Cloudy with a Chance of Meatballs (2009),243006126,124870275,118135851,3119,PG,1.00E+08,September,2009,7.5,16649370,150010823.7,Fall
Tyler Perry's I Can Do Bad All By Myself (2009),51733921,51733921,0,NA,PG-13,NA,September,2009,7.5,6897856.133,62149683.76,Fall
The Final Destination (2009),186167139,66477700,119689439,3121,R,4.00E+07,August,2009,7.5,8863693.333,79861876.93,Summer
Inglourious Basterds (2009),NA,NA,0,NA,R,7.00E+07,August,2009,7.5,NA,NA,Summer
District 9 (2009),210819611,115646235,95173376,3180,R,3.00E+07,August,2009,7.5,15419498,138929677,Summer
G.I. Joe: The Rise of Cobra (2009),302469017,150201498,152267519,4007,PG-13,1.75E+08,August,2009,7.5,20026866.4,180442066.3,Summer
Funny People (2009),71585235,51855045,19730190,3008,R,7.50E+07,July,2009,7.5,6914006,62295194.06,Summer
G-Force (2009),292817841,119436770,173381071,3697,PG,1.50E+08,July,2009,7.5,15924902.67,143483373,Summer
Harry Potter and the Half-Blood Prince (2009),934546568,302089278,632457290,4455,PG,2.50E+08,July,2009,7.5,40278570.4,362909919.3,Summer
Ice Age: Dawn of the Dinosaurs (2009),886686817,196573705,690113112,4102,PG,9.00E+07,July,2009,7.5,26209827.33,236150544.3,Summer
Transformers: Revenge of the Fallen (2009),836303693,402111870,434191823,4293,PG-13,2.00E+08,June,2009,7.5,53614916,483070393.2,Summer
The Hangover (2009),467483912,277322503,190161409,3545,R,3.50E+07,June,2009,7.5,36976333.73,333156766.9,Summer
Up (2009),735099082,293004164,442094918,3886,PG,1.75E+08,May,2009,7.5,39067221.87,351995669,Spring
Night at the Museum: Battle of the Smithsonian (2009),413106170,177243721,235862449,4101,PG,1.50E+08,May,2009,7.5,23632496.13,212928790.2,Spring
Angels & Demons (2009),485930816,133375846,352554970,3527,PG-13,1.50E+08,May,2009,7.5,17783446.13,160228849.7,Spring
Star Trek (2009),385680446,257730019,127950427,4053,PG-13,1.50E+08,May,2009,7.5,34364002.53,309619662.8,Spring
X-Men Origins: Wolverine (2009),373062864,179883157,193179707,4102,PG-13,1.50E+08,May,2009,7.5,23984420.93,216099632.6,Spring
Obsessed (2009),73830340,68261644,5568696,2634,PG-13,2.00E+07,April,2009,7.5,9101552.533,82004988.33,Spring
17 Again (2009),136267476,64167069,72100407,3255,PG-13,NA,April,2009,7.5,8555609.2,77086038.89,Spring
Hannah Montana The Movie (2009),155545279,79576189,75969090,3231,G,NA,April,2009,7.5,10610158.53,95597528.39,Spring
Fast and Furious (2009),363164265,155064265,208100000,3674,PG-13,8.50E+07,April,2009,7.5,20675235.33,186283870.4,Spring
Monsters Vs. Aliens (2009),381509870,198351526,183158344,4136,PG,1.75E+08,March,2009,7.5,26446870.13,238286299.9,Spring
Knowing (2009),183593586,79957634,103635952,3337,PG-13,5.00E+07,March,2009,7.5,10661017.87,96055770.98,Spring
Race to Witch Mountain (2009),106387141,67172594,39214547,3268,PG,NA,March,2009,7.5,8956345.867,80696676.26,Spring
Watchmen (2009),NA,NA,0,NA,R,1.30E+08,March,2009,7.5,NA,NA,Spring
Tyler Perry's Madea Goes to Jail (2009),90508336,90508336,0,NA,PG-13,NA,February,2009,7.5,12067778.13,108730681,Winter
Friday the 13th (2009) (2009),91379051,65002019,26377032,3105,R,1.90E+07,February,2009,7.5,8666935.867,78089092.16,Winter
He's Just Not That Into You (2009),178846899,93953653,84893246,3175,PG-13,NA,February,2009,7.5,12527153.73,112869655.1,Winter
Taken (2009),226830568,145000989,81829579,3184,PG-13,2.50E+07,January,2009,7.5,19333465.2,174194521.5,Winter
Paul Blart: Mall Cop (2009),183293131,146336178,36956953,3206,PG,2.60E+07,January,2009,7.5,19511490.4,175798528.5,Winter
Gran Torino (2008),269958228,148095302,121862926,NA,R,3.30E+07,December,2008,7.18,20626086.63,185841040.5,Winter
Little Fockers (2010),310650585,148438600,162211985,3675,PG-13,1.00E+08,December,2010,7.89,18813510.77,169509732.1,Winter
Tron Legacy (2010),400062763,172062763,2.28E+08,3451,PG,1.70E+08,December,2010,7.89,21807701.27,196487388.4,Winter
The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),415686217,104386950,311299267,3555,PG,1.55E+08,December,2010,7.89,13230285.17,119204869.4,Winter
Tangled (2010),591794936,200821936,390973000,3603,PG,2.60E+08,November,2010,7.89,25452716.86,229328978.9,Fall
Harry Potter and the Deathly Hallows Part 1 (2010),960431568,296131568,664300000,4125,PG-13,NA,November,2010,7.89,37532518.12,338167988.3,Fall
Megamind (2010),321885765,148415853,173469912,3949,PG,1.30E+08,November,2010,7.89,18810627.76,169483756.1,Fall
Saw 3D (2010),136150434,45710178,90440256,2808,R,2.00E+07,October,2010,7.89,5793431.939,52198821.77,Fall
Paranormal Activity 2 (2010),177512032,84752907,92759125,3239,R,3.00E+06,October,2010,7.89,10741813.31,96783737.9,Fall
Jackass 3-D (2010),171685792,117229692,54456100,3139,R,2.00E+07,October,2010,7.89,14858009.13,133870662.2,Fall
The Social Network (2010),224920315,96962694,127957621,2921,PG-13,4.00E+07,October,2010,7.89,12289314.83,110726726.6,Fall
Wall Street: Money Never Sleeps (2010),134748021,52474616,82273405,3597,PG-13,7.00E+07,September,2010,7.89,6650775.158,59923484.18,Fall
The Town (2010),154026136,92186262,61839874,2935,R,3.70E+07,September,2010,7.89,11683936.88,105272271.3,Fall
Resident Evil: Afterlife (2010),300228084,60128566,240099518,3209,R,6.00E+07,September,2010,7.89,7620857.541,68663926.45,Fall
The American (2010),67876281,35606376,32269905,2833,R,2.00E+07,September,2010,7.89,4512848.669,40660766.51,Fall
Takers (2010),69055695,57744720,11310975,2206,PG-13,3.20E+07,August,2010,7.89,7318722.433,65941689.13,Summer
The Expendables (2010),274470394,103068524,171401870,3398,R,8.00E+07,August,2010,7.89,13063184.28,117699290.4,Summer
The Other Guys (2010),170432927,119219978,51212949,3651,PG-13,1.00E+08,August,2010,7.89,15110263.37,136143473,Summer
Inception (2010),828322032,292576195,535745837,3792,PG-13,1.60E+08,July,2010,7.89,37081900.51,334107923.6,Summer
Despicable Me (2010),NA,NA,0,NA,PG,6.90E+07,July,2010,7.89,NA,NA,Summer
The Twilight Saga: Eclipse (2010),698491347,300531751,397959596,4468,PG-13,6.80E+07,June,2010,7.89,38090209.25,343192785.4,Summer
Toy Story 3 (2010),1066969703,415004880,651964823,4028,G,2.00E+08,June,2010,7.89,52598844.11,473915585.4,Summer
The Karate Kid (2010),NA,NA,0,NA,PG,4.00E+07,June,2010,7.89,NA,NA,Summer
Shrek Forever After (2010),NA,NA,0,NA,PG,1.65E+08,May,2010,7.89,NA,NA,Spring
Iron Man 2 (2010),623933331,312433331,311500000,4390,PG-13,2.00E+08,May,2010,7.89,39598647.78,356783816.5,Spring
A Nightmare on Elm Street (2010) (2010),115664037,63075011,52589026,3332,R,3.50E+07,April,2010,7.89,7994297.972,72028624.73,Spring
How to Train Your Dragon (2010),494878759,217581231,277297528,4060,PG,1.65E+08,March,2010,7.89,27576835.36,248467286.6,Spring
Kick-Ass (2010),96188903,48071303,48117600,3065,R,3.00E+07,April,2010,7.89,6092687.326,54895112.8,Spring
Clash of the Titans (2010) (2010),493214993,163214888,330000105,3802,PG-13,1.25E+08,April,2010,7.89,20686297.59,186383541.3,Spring
Alice in Wonderland (2010) (2010),1025467110,334191110,691276000,3739,PG,2.00E+08,March,2010,7.89,42356287.71,381630152.2,Spring
Shutter Island (2010),294804195,128012934,166791261,3356,R,8.00E+07,February,2010,7.89,16224706.46,146184605.2,Winter
Valentine's Day (2010),216485654,110485654,1.06E+08,3665,PG-13,5.20E+07,February,2010,7.89,14003251.46,126169295.6,Winter
Dear John (2010),114977104,80014842,34962262,3062,PG-13,2.50E+07,February,2010,7.89,10141298.1,91373095.87,Winter
Mission: Impossible,694713380,209397903,485315477,NA,PG-13,1.45E+08,December,2011,7.93,26405788.52,237916154.6,Winter
Sherlock Holmes: A Game of Shadows (2011),545448418,186848418,358600000,3703,PG-13,NA,December,2011,7.93,23562221.69,212295617.4,Winter
New Year's Eve (2011),142044638,54544638,87500000,3505,PG-13,5.60E+07,December,2011,7.93,6878264.565,61973163.73,Winter
The Twilight Saga: Breaking Dawn Part 1 (2011),712205856,281287133,430918723,4066,PG-13,1.10E+08,November,2011,7.93,35471265.2,319596099.4,Fall
Immortals (2011),226904017,83504017,143400000,3120,R,7.50E+07,November,2011,7.93,10530140.86,94876569.13,Fall
Puss in Boots (2011),554987477,149260504,405726973,3963,PG,1.30E+08,October,2011,7.93,18822257.76,169588542.4,Fall
Paranormal Activity 3 (2011),207039844,104028807,103011037,3329,R,5.00E+06,October,2011,7.93,13118386.76,118196664.7,Fall
Real Steel (2011),299268508,85468508,213800000,3440,PG-13,NA,October,2011,7.93,10777869.86,97108607.45,Fall
Dolphin Tale (2011),95404397,72286779,23117618,3515,PG,3.70E+07,September,2011,7.93,9115608.953,82131636.67,Fall
The Lion King (in 3D) (2011),514083777,422783777,91300000,2340,G,NA,September,2011,7.93,53314473.77,480363408.7,Fall
Contagion (2011),135458097,75658097,59800000,3222,PG-13,6.00E+07,September,2011,7.93,9540743.632,85962100.12,Fall
The Help (2011),216639112,169708112,46931000,3014,PG-13,2.50E+07,August,2011,7.93,21400770.74,192820944.4,Summer
Rise of the Planet of the Apes (2011),481801049,176760185,305040864,3691,PG-13,9.30E+07,August,2011,7.93,22290061.16,200833451.1,Summer
The Smurfs (2011),563749323,142614158,421135165,3427,PG,1.10E+08,July,2011,7.93,17984130.9,162037019.4,Summer
Captain America: The First Avenger (2011),370569774,176654505,193915269,3715,PG-13,1.40E+08,July,2011,7.93,22276734.55,200713378.3,Summer
Harry Potter and the Deathly Hallows Part 2 (2011),1341693157,381193157,960500000,4375,PG-13,NA,July,2011,7.93,48069754.98,433108492.4,Summer
Transformers: Dark of the Moon (2011),1123794079,352390543,771403536,4088,PG-13,1.95E+08,June,2011,7.93,44437647.29,400383202.1,Summer
Cars 2 (2011),562110557,191452396,370658161,4115,G,2.00E+08,June,2011,7.93,24142798.99,217526618.9,Summer
Green Lantern (2011),219851172,116601172,103250000,3816,PG-13,2.00E+08,June,2011,7.93,14703804.79,132481281.2,Summer
Super 8 (2011),260095986,127004179,133091807,3424,PG-13,5.00E+07,June,2011,7.93,16015659.39,144301091.1,Summer
X-Men: First Class (2011),353624124,146408305,207215819,3692,PG-13,1.60E+08,June,2011,7.93,18462585.75,166347897.6,Summer
The Hangover Part II (2011),586764305,254464305,332300000,3675,R,8.00E+07,May,2011,7.93,32088815.26,289120225.5,Spring
Pirates of the Caribbean: On Stranger Tides (2011),1045713802,241071802,804642000,4164,PG-13,2.50E+08,May,2011,7.93,30399975.03,273903775,Spring
Thor (2011),449326618,181030624,268295994,3963,PG-13,1.50E+08,May,2011,7.93,22828578.06,205685488.3,Spring
Fast Five (2011),626137675,209837675,416300000,3793,PG-13,1.25E+08,April,2011,7.93,26461245.27,238415819.9,Spring
Rio (2011),484635760,143619809,341015951,3842,G,9.00E+07,April,2011,7.93,18110946.91,163179631.7,Spring
Hop (2011),183953723,108085305,75868418,3616,PG,6.30E+07,April,2011,7.93,13629924.97,122805624,Spring
Diary of a Wimpy Kid: Rodrick Rules (2011),72417394,52698535,19718859,3169,PG,2.10E+07,March,2011,7.93,6645464.691,59875636.87,Spring
Limitless (2011),161849455,79249455,82600000,2838,PG-13,2.70E+07,March,2011,7.93,9993626.103,90042571.19,Spring
Battle: Los Angeles (2011),211819354,83552429,128266925,3417,PG-13,7.00E+07,March,2011,7.93,10536245.78,94931574.44,Spring
Rango (2011),245724603,123477607,122246996,3923,PG,1.35E+08,March,2011,7.93,15570946.66,140294229.4,Spring
Hall Pass (2011),83160734,45060734,38100000,2950,R,3.60E+07,February,2011,7.93,5682311.98,51197630.94,Winter
Unknown (2011),130786397,63686397,67100000,3043,PG-13,3.00E+07,February,2011,7.93,8031071.501,72359954.22,Winter
Just Go With It (2011),214945591,103028109,111917482,3548,PG-13,8.00E+07,February,2011,7.93,12992195.33,117059680,Winter
The Roommate (2011),40492759,37300107,3192652,2534,PG-13,1.60E+07,February,2011,7.93,4703670.492,42380071.13,Winter
The Rite (2011),96047633,33047633,6.30E+07,2985,PG-13,3.70E+07,January,2011,7.93,4167419.042,37548445.56,Winter
No Strings Attached (2011),149228077,70662220,78565857,3050,R,2.50E+07,January,2011,7.93,8910746.532,80285826.25,Winter
The Green Hornet (2011),227817248,98780042,129037206,3584,PG-13,1.20E+08,January,2011,7.93,12456499.62,112233061.6,Winter
True Grit (2010),NA,NA,0,NA,PG-13,3.80E+07,December,2010,7.89,NA,NA,Winter
The Hobbit: An Unexpected Journey (2012),1021103568,303003568,718100000,4100,PG-13,NA,December,2012,7.96,38065774.87,342972631.6,Winter
Skyfall (2012),1108561013,304360277,804200736,3526,PG-13,2.00E+08,November,2012,7.96,38236215.7,344508303.5,Fall
The Twilight Saga: Breaking Dawn Part 2 (2012),829746820,292324737,537422083,4070,PG-13,1.20E+08,November,2012,7.96,36724213.19,330885160.9,Fall
Wreck-It Ralph (2012),471222889,189422889,281800000,3752,PG,1.65E+08,November,2012,7.96,23796845.35,214409576.6,Fall
Argo (2012),232325503,136025503,96300000,3247,R,44500000,October,2012,7.96,17088631.03,153968565.6,Fall
G.I. Joe: Retaliation (2013),375740705,122523060,253217645,3734,PG-13,1.30E+08,March,2013,8.13,15070487.08,135785088.6,Spring
The Croods (2013),587204668,187168425,400036243,4065,PG,1.35E+08,March,2013,8.13,23021946.49,207427737.9,Spring
Oz The Great and Powerful (2013),493311825,234911825,258400000,3912,PG,2.15E+08,March,2013,8.13,28894443.42,260338935.2,Spring
Jack the Giant Slayer (2013),197687603,65187603,132500000,3525,PG-13,1.95E+08,March,2013,8.13,8018155.351,72243579.71,Spring
Identity Thief (2013),173965010,134506920,39458090,3230,R,3.50E+07,February,2013,8.13,16544516.61,149066094.6,Winter
A Good Day to Die Hard (2013),304654182,67349198,237304984,3555,R,9.20E+07,February,2013,8.13,8284034.194,74639148.09,Winter
Warm Bodies (2013),116980662,66380662,50600000,3009,PG-13,3.50E+07,February,2013,8.13,8164903.075,73565776.71,Winter
Hansel and Gretel: Witch Hunters (2013),226349749,55703475,170646274,3375,R,5.00E+07,January,2013,8.13,6851595.941,61732879.43,Winter
Mama (2013),146428180,71628180,74800000,2781,PG-13,1.50E+07,January,2013,8.13,8810354.244,79381291.73,Winter
Zero Dark Thirty (2012),132820716,95720716,37100000,NA,R,4.00E+07,December,2012,7.96,12025215.58,108347192.4,Winter
Django Unchained (2012),NA,NA,0,NA,R,1.00E+08,December,2012,7.96,NA,NA,Winter
The Hobbit: The Battle of the Five Armies (2014),956019788,255119788,700900000,3875,PG-13,NA,December,2014,8.17,31226412.24,281349974.3,Winter
The Hunger Games: Mockingjay,755356711,337135885,418220826,4151,PG-13,1.25E+08,November,2014,8.17,41265102.2,371798570.9,Fall
Dumb and Dumber To (2014),169837010,86208010,83629000,3188,PG-13,4.00E+07,November,2014,8.17,10551776.01,95071501.85,Fall
Big Hero 6 (2014),657818612,222527828,435290784,3773,PG,1.65E+08,November,2014,8.17,27237188.25,245407066.1,Fall
Nightcrawler (2014),38697217,32381217,6316000,2766,R,8500000,October,2014,8.17,3963429.253,35710497.57,Fall
Ouija (2014),103590271,50856010,52734261,2899,PG-13,5.00E+06,October,2014,8.17,6224725.826,56084779.69,Fall
Fury (2014) (2014),211817906,85817906,1.26E+08,3313,R,6.80E+07,October,2014,8.17,10504027.66,94641289.24,Fall
Gone Girl (2014),369330363,167767189,201563174,3284,R,6.10E+07,October,2014,8.17,20534539.66,185016202.3,Fall
The Equalizer (2014),192330738,101530738,90800000,3236,R,5.50E+07,September,2014,8.17,12427262.91,111969638.8,Fall
The Maze Runner (2014),348319861,102427862,245891999,3638,PG-13,3.40E+07,September,2014,8.17,12537070.01,112959000.8,Fall
No Good Deed (2014) (2014),54323210,52543632,1779578,2175,PG-13,13200000,September,2014,8.17,6431289.106,57945914.85,Fall
Guardians of the Galaxy (2014),773328629,333176600,440152029,4088,PG-13,1.70E+08,August,2014,8.17,40780489.6,367432211.3,Summer
Teenage Mutant Ninja Turtles (2014) (2014),493333584,191204754,302128830,3980,PG-13,1.25E+08,August,2014,8.17,23403274.66,210863504.7,Summer
Lucy (2014),463360063,126663600,336696463,3202,R,4.00E+07,July,2014,8.17,15503500.61,139686540.5,Summer
Dawn of the Planet of the Apes (2014),710644566,208545589,502098977,3969,PG-13,1.70E+08,July,2014,8.17,25525775.89,229987240.7,Summer
Transformers: Age of Extinction (2014),1104054072,245439076,858614996,4233,PG-13,2.10E+08,June,2014,8.17,30041502.57,270673938.2,Summer
22 Jump Street (2014),331333876,191719337,139614539,3426,R,5.00E+07,June,2014,8.17,23466259.12,211430994.7,Summer
The Fault in our Stars (2014),307166834,124872350,182294484,3340,PG-13,1.20E+07,June,2014,8.17,15284253.37,137711122.8,Summer
Maleficent (2014),758539785,241410378,517129407,3948,PG,1.80E+08,May,2014,8.17,29548393.88,266231028.9,Spring
X-Men: Days of Future Past (2014),747862775,233921534,513941241,4001,PG-13,2.00E+08,May,2014,8.17,28631766.71,257972218,Spring
Godzilla (2014) (2014),NA,NA,0,NA,PG-13,1.60E+08,May,2014,8.17,NA,NA,Spring
Neighbors (2014),270665134,150157400,120507734,3311,R,1.80E+07,May,2014,8.17,18379118.73,165595859.7,Spring
The Amazing Spider-Man 2 (2014),708982323,202853933,506128390,4324,PG-13,NA,May,2014,8.17,24829122.77,223710396.1,Spring
The Other Woman (2014) (2014),196710396,83911193,112799203,3306,PG-13,4.00E+07,April,2014,8.17,10270647.86,92538537.2,Spring
Captain America: The Winter Soldier (2014),714264267,259766572,454497695,3938,PG-13,1.70E+08,April,2014,8.17,31795174.05,286474518.2,Spring
Noah (2014),362637473,101200044,261437429,3571,PG-13,1.25E+08,March,2014,8.17,12386786.29,111604944.5,Spring
Divergent (2014),288885818,150947895,137937923,3936,PG-13,8.50E+07,March,2014,8.17,18475874.54,166467629.6,Spring
Mr. Peabody & Sherman (2014),275698039,111506430,164191609,3951,PG,1.45E+08,March,2014,8.17,13648277.85,122970983.4,Spring
300: Rise of An Empire (2014),337580051,106580051,2.31E+08,3490,R,1.10E+08,March,2014,8.17,13045293.88,117538097.9,Spring
Non-Stop (2014),222809600,92168600,130641000,3183,PG-13,5.00E+07,February,2014,8.17,11281346.39,101644931,Winter
The LEGO Movie (2014),469160692,257760692,211400000,3890,PG,6.00E+07,February,2014,8.17,31549656.3,284262403.3,Winter
Ride Along (2014),154468902,134938200,19530702,2867,PG-13,2.50E+07,January,2014,8.17,16516303.55,148811895,Winter
Lone Survivor (2013),154802912,125095601,29707311,NA,R,4.00E+07,December,2013,8.13,15386912.79,138636084.3,Winter
Star Wars: The Force Awakens (2015),2068223624,936662225,1131561399,4134,PG-13,2.45E+08,December,2015,8.43,111110584.2,1001106364,Winter
Spectre (2015),880674609,200074609,680600000,3929,PG-13,2.45E+08,November,2015,8.43,23733642.82,213840121.8,Fall
The Martian (2015),NA,NA,0,NA,PG-13,1.08E+08,October,2015,8.43,NA,NA,Fall
Goosebumps (2015),150170815,80080379,70090436,3618,PG,5.80E+07,October,2015,8.43,9499451.839,85590061.07,Fall
Hotel Transylvania 2 (2015),474800000,169700110,305099890,3768,PG,8.00E+07,September,2015,8.43,20130499.41,181375799.7,Fall
Maze Runner: The Scorch Trials (2015),312325103,81697192,230627911,3792,PG-13,6.10E+07,September,2015,8.43,9691244.603,87318113.87,Fall
The Perfect Guy (2015),60273173,57027435,3245738,2230,PG-13,1.20E+07,September,2015,8.43,6764820.285,60951030.77,Fall
War Room (2015),67790117,67790117,0,NA,PG,3.00E+06,August,2015,8.43,8041532.266,72454205.71,Summer
Straight Outta Compton (2015),201634991,161197785,40437206,3142,R,2.80E+07,August,2015,8.43,19121919.93,172288498.6,Summer
Ant-Man (2015),519311965,180202163,339109802,3868,PG-13,1.30E+08,July,2015,8.43,21376294.54,192600413.8,Summer
Minions (2015),1159398397,336045770,823352627,4311,PG,7.40E+07,July,2015,8.43,39863080.66,359166356.8,Summer
Inside Out (2015),857611174,356461711,501149463,4158,PG,1.75E+08,June,2015,8.43,42284900.47,380986953.3,Summer
Jurassic World (2015),1671713208,652270625,1019442583,4291,PG-13,1.50E+08,June,2015,8.43,77374925.86,697148082,Summer
Spy (2015),235666219,110825712,124840507,3715,R,6.50E+07,June,2015,8.43,13146585.05,118450731.3,Summer
San Andreas (2015),NA,NA,0,NA,PG-13,1.10E+08,May,2015,8.43,NA,NA,Spring
Tomorrowland (2015),209154322,93436322,115718000,3972,PG,1.90E+08,May,2015,8.43,11083786.71,99864918.29,Spring
Pitch Perfect 2 (2015),287506194,184296230,103209964,3660,PG-13,2.90E+07,May,2015,8.43,21861948.99,196976160.4,Spring
Avengers: Age of Ultron (2015),1405403694,459005868,946397826,4276,PG-13,2.50E+08,May,2015,8.43,54449094.66,490586342.9,Spring
Furious 7 (2015),1516045911,353007020,1163038891,4022,PG-13,1.90E+08,April,2015,8.43,41875091.34,377294573,Spring
Home (2015) (2015),386041607,177397510,208644097,3801,PG,1.35E+08,March,2015,8.43,21043595.49,189602795.4,Spring
The Divergent Series: Insurgent (2015),297276329,130179072,167097257,3875,PG-13,1.10E+08,March,2015,8.43,15442357.3,139135639.2,Spring
Cinderella (2015) (2015),543514353,201151353,342363000,3848,PG,9.50E+07,March,2015,8.43,23861370.46,214990947.9,Spring
Chappie (2015),102069268,31569268,70500000,3201,R,4.90E+07,March,2015,8.43,3744871.649,33741293.56,Spring
Focus (2015) (2015),159062963,53862963,105200000,3323,R,50100000,February,2015,8.43,6389438.078,57568837.09,Winter
Fifty Shades of Grey (2015),571006128,166167230,404838898,3655,R,4.00E+07,February,2015,8.43,19711415.18,177599850.8,Winter
The SpongeBob Movie: Sponge Out of Water (2015),325186032,162994032,162192000,3680,PG,7.40E+07,February,2015,8.43,19334997.86,174208330.8,Winter
American Sniper (2014),547426372,350126372,197300000,NA,R,58800000,December,2014,8.17,42855125.09,386124677.1,Winter
Taken 3 (2015),326479141,89256424,237222717,3594,PG-13,4.80E+07,January,2015,8.43,10587950.65,95397435.38,Winter
Rogue One: A Star Wars Story (2016),1056057273,532177324,523879949,4157,PG-13,2.00E+08,December,2016,8.65,61523390.06,554325744.4,Winter
Moana (2016),643331111,248757044,394574067,3875,PG,NA,November,2016,8.65,28758039.77,259109938.3,Fall
Fantastic Beasts and Where To Find Them (2016),814037575,234037575,5.80E+08,4144,PG-13,1.80E+08,November,2016,8.65,27056367.05,243777867.1,Fall
Doctor Strange (2016),677718395,232641920,445076475,3882,PG-13,1.65E+08,November,2016,8.65,26895019.65,242324127.1,Fall
Boo! A Madea Halloween (2016),74827344,73206343,1621001,2299,PG-13,2.00E+07,October,2016,8.65,8463161.04,76253080.97,Fall
The Accountant (2016),155160045,86260045,68900000,3402,R,4.40E+07,October,2016,8.65,9972259.538,89850058.43,Fall
The Girl on the Train (2016) (2016),173185859,75395035,97790824,3241,R,4.50E+07,October,2016,8.65,8716189.017,78532863.05,Fall
Miss Peregrine's Home for Peculiar Children (2016),296485719,87242834,209242885,3835,PG-13,1.10E+08,September,2016,8.65,10085876.76,90873749.63,Fall
The Magnificent Seven (2016) (2016),162360636,93432655,68927981,3696,PG-13,9.00E+07,September,2016,8.65,10801463.01,97321181.68,Fall
Sully (2016),240797623,125070033,115727590,3955,PG-13,6.00E+07,September,2016,8.65,14458963.35,130275259.8,Fall
Don't Breathe (2016),157100845,89217875,67882970,3384,R,9900000,August,2016,8.65,10314205.2,92930988.87,Summer
Suicide Squad (2016),746846894,325100054,421746840,4255,PG-13,1.75E+08,August,2016,8.65,37583821.27,338630229.7,Summer
Jason Bourne (2016),415484914,162434410,253050504,4039,PG-13,1.20E+08,July,2016,8.65,18778544.51,169194686,Summer
Star Trek Beyond (2016),343471816,158848340,184623476,3928,PG-13,1.85E+08,July,2016,8.65,18363969.94,165459369.2,Summer
The Secret Life of Pets (2016),875457937,368384330,507073607,4381,PG,7.50E+07,July,2016,8.65,42587783.82,383715932.2,Summer
Finding Dory (2016),1028570889,486295561,542275328,4305,PG,NA,June,2016,8.65,56219140,506534451.4,Summer
The Conjuring 2 (2016),320392818,102470008,217922810,3356,R,4.00E+07,June,2016,8.65,11846243.7,106734655.7,Summer
Teenage Mutant Ninja Turtles: Out of the Shadows (2016),245623848,82051601,163572247,4071,PG-13,1.35E+08,June,2016,8.65,9485734.22,85466465.32,Summer
X-Men: Apocalypse (2016),543934787,155442489,388492298,4153,PG-13,1.78E+08,May,2016,8.65,17970229.94,161911771.8,Spring
The Angry Birds Movie (2016),352333929,107509366,244824563,3932,PG,7.30E+07,May,2016,8.65,12428828.44,111983744.2,Spring
Captain America: Civil War (2016),1153304495,408084349,745220146,4226,PG-13,2.50E+08,May,2016,8.65,47177381.39,425068206.3,Spring
The Jungle Book (2016) (2016),966550600,364001123,602549477,4144,PG,1.75E+08,April,2016,8.65,42081054.68,379150302.7,Spring
The Boss (2016),78844582,63285885,15558697,3495,R,2.90E+07,April,2016,8.65,7316287.283,65919748.42,Spring
Batman v Superman: Dawn of Justice (2016),873634919,330360194,543274725,4256,PG-13,2.50E+08,March,2016,8.65,38191929.94,344109288.8,Spring
Zootopia (2016),1023784195,341268248,682515947,3959,PG,NA,March,2016,8.65,39452976.65,355471319.6,Spring
Deadpool (2016),783112979,363070709,420042270,3856,R,5.80E+07,February,2016,8.65,41973492.37,378181166.3,Winter
Kung Fu Panda 3 (2016),521170825,143528619,377642206,3987,PG,1.45E+08,January,2016,8.65,16592903.93,149502064.4,Winter
The Revenant (2015),532950503,183637894,349312609,NA,R,1.35E+08,December,2015,8.43,21783854.57,196272529.6,Winter
Ride Along 2 (2016),124605297,91221830,33383467,3192,PG-13,4.00E+07,January,2016,8.65,10545876.3,95018345.47,Winter
Jumanji: Welcome to the Jungle (2017),962126927,404564861,557562066,3849,PG-13,9.00E+07,December,2017,8.97,45101991.19,406368940.6,Winter
Star Wars: The Last Jedi (2017),1332539889,620181382,712358507,4232,PG-13,3.17E+08,December,2017,8.97,69139507.47,622946962.3,Winter
Coco (2017),807082196,209726015,597356181,3987,PG,NA,November,2017,8.97,23380826.64,210661248.1,Fall
Justice League (2017),657924295,229024295,428900000,4051,PG-13,NA,November,2017,8.97,25532251.39,230045585.1,Fall
Thor: Ragnarok (2017),853977126,315058289,538918837,4080,PG-13,1.80E+08,November,2017,8.97,35123555.07,316463231.2,Fall
Jigsaw (2017),102952562,38052832,64899730,2941,R,1.00E+07,October,2017,8.97,4242233.222,38222521.33,Fall
Tyler Perry's Boo 2! A Madea Halloween (2017),48333932,47319572,1014360,2388,PG-13,2.50E+07,October,2017,8.97,5275314.604,47530584.58,Fall
Happy Death Day (2017),125479266,55683845,69795421,3535,PG-13,4800000,October,2017,8.97,6207786.511,55932156.46,Fall
Blade Runner 2049 (2017),259239658,92054159,167185499,4058,R,1.50E+08,October,2017,8.97,10262448.05,92464656.92,Fall
American Made (2017),134866593,51342000,83524593,3098,R,5.00E+07,September,2017,8.97,5723745.819,51570949.83,Fall
